N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,700",0,0.00%,100,"4,399,730","5,969,783",52.20,"9,239,742",14.29,9.99,
2,LG에너지솔루션,"451,500","11,500",-2.48%,500,"1,056,510","234,000",4.09,"808,656",306.10,N/A,
3,SK하이닉스,"127,000","5,500",-4.15%,"5,000","924,563","728,002",50.65,"5,048,224",11.48,9.53,
4,삼성전자우,"66,500",600,-0.89%,100,"547,220","822,887",74.81,"1,032,487",12.89,N/A,
5,NAVER,"318,500","3,500",-1.09%,100,"522,496","164,049",55.19,"333,846",3.15,15.22,
6,삼성바이오로직스,"740,000","23,000",-3.01%,"2,500","489,621","66,165",10.51,"56,631",119.28,N/A,
7,LG화학,"622,000","3,000",+0.48%,"5,000","439,084","70,592",49.43,"274,517",16.21,2.93,
8,카카오,"88,300",500,-0.56%,100,"393,784","445,962",28.15,"2,218,338",34.76,2.70,
9,현대차,"180,500","4,000",+2.27%,"5,000","385,671","213,668",27.35,"952,239",9.15,2.04,
10,삼성SDI,"530,000","4,000",+0.76%,"5,000","364,452","68,765",44.13,"226,574",33.24,4.54,
11,기아,"77,600",600,+0.78%,"5,000","314,562","405,363",35.28,"920,470",7.03,5.05,
12,KB금융,"64,500",100,-0.15%,"5,000","268,196","415,808",71.97,"952,596",6.17,8.53,
13,POSCO,"280,500","3,500",-1.23%,"5,000","244,559","87,187",52.84,"334,096",4.20,3.61,
14,현대모비스,"227,000","4,000",+1.79%,"5,000","214,681","94,573",34.29,"195,750",9.14,4.66,
15,셀트리온,"153,500","5,000",-3.15%,"1,000","211,749","137,947",20.66,"587,345",39.06,16.68,
16,카카오뱅크,"44,200",250,+0.57%,"5,000","210,020","475,159",15.70,"2,156,003",143.04,5.08,
17,신한지주,"40,450",50,+0.12%,"5,000","208,965","516,600",61.85,"1,251,887",5.37,8.20,
18,삼성물산,"108,000",500,+0.47%,100,"201,838","186,887",15.77,"310,859",12.29,3.81,
19,LG전자,"122,000","1,000",-0.81%,"5,000","199,650","163,648",28.63,"810,229",17.60,13.23,
20,SK이노베이션,"200,500","4,000",-1.96%,"5,000","185,393","92,466",23.65,"328,033","-5,897.06",-13.58,
21,카카오페이,"127,500","1,000",-0.78%,500,"168,235","131,949",42.72,"166,706",-634.33,-17.97,
22,SK,"218,000","3,500",-1.58%,200,"161,646","74,149",21.89,"106,883",25.48,1.11,
23,LG생활건강,"975,000","25,000",+2.63%,"5,000","152,277","15,618",42.46,"47,373",20.29,17.92,
24,하나금융지주,"49,700",300,-0.60%,"5,000","149,220","300,242",70.76,"1,173,214",4.64,8.96,
25,한국전력,"21,750",450,-2.03%,"5,000","139,627","641,964",14.54,"1,364,039",-12.82,2.91,
26,크래프톤,"281,000","13,500",+5.05%,100,"137,611","48,972",29.29,"686,428",22.03,61.86,
27,삼성생명,"62,100",600,-0.96%,500,"124,200","200,000",12.79,"174,975",7.94,3.53,
28,HMM,"25,250",250,+1.00%,"5,000","123,482","489,039",10.61,"14,238,959",3.18,8.93,
29,삼성전기,"162,500",0,0.00%,"5,000","121,377","74,694",29.72,"301,918",12.49,10.92,
30,SK텔레콤,"54,800",100,+0.18%,100,"119,921","218,833",44.92,"459,989",8.50,6.44,
31,LG,"75,500",0,0.00%,"5,000","118,762","157,301",36.23,"214,739",4.98,7.50,
32,엔씨소프트,"513,000","3,000",+0.59%,500,"112,624","21,954",43.46,"154,042",31.67,20.83,
33,SK바이오사이언스,"146,000","16,500",-10.15%,500,"111,690","76,500",5.19,"934,900",56.22,13.25,
34,KT&G,"79,600",0,0.00%,"5,000","109,285","137,292",36.27,"291,927",9.18,13.22,
35,삼성에스디에스,"136,500",500,-0.36%,500,"105,621","77,378",11.43,"91,118",15.54,6.71,
36,우리금융지주,"14,500",200,-1.36%,"5,000","105,569","728,061",34.00,"3,429,739",4.43,5.87,
37,아모레퍼시픽,"180,000","7,500",+4.35%,500,"105,287","58,493",30.04,"400,865",69.42,0.78,
38,대한항공,"28,950",950,-3.18%,"5,000","100,694","347,821",12.48,"1,833,992",13.60,-7.22,
39,삼성화재,"212,000",500,-0.24%,500,"100,435","47,375",48.63,"59,677",9.17,4.96,
40,하이브,"239,000","15,000",-5.91%,500,"98,835","41,353",16.22,"294,722",85.02,12.52,
41,고려아연,"519,000","13,000",-2.44%,"5,000","97,935","18,870",18.31,"31,686",12.98,8.37,
42,S-Oil,"86,000","4,300",-4.76%,"2,500","96,821","112,583",78.00,"469,640",8.28,-13.07,
43,현대중공업,"96,200",600,+0.63%,"5,000","85,400","88,773",2.17,"139,366",-10.50,-7.86,
44,넷마블,"98,600","1,100",-1.10%,100,"84,750","85,954",22.99,"162,198",36.46,6.35,
45,포스코케미칼,"109,000",0,0.00%,500,"84,435","77,463",6.36,"151,732",60.86,2.96,
46,KT,"32,000",150,+0.47%,"5,000","83,556","261,112",39.41,"653,788",8.18,4.76,
47,기업은행,"10,950",100,-0.90%,"5,000","81,501","744,301",13.87,"1,782,620",4.05,6.44,
48,두산중공업,"15,450",150,-0.96%,"5,000","80,684","522,224",7.37,"4,541,800",45.85,-37.20,
49,SK아이이테크놀로지,"109,000","8,000",-6.84%,"1,000","77,714","71,298",10.60,"926,529",71.66,11.00,
50,LG이노텍,"313,500","1,500",-0.48%,"5,000","74,196","23,667",23.20,"296,914",9.93,10.20,
